Class,Total Score,Paper Count,Year.Quarter,Year_Quarter_Sortable,Cumulative_Total_Score
SOCI,9.2942,44,2020.3,20203,66.5095
SOCI,5.2464,29,2020.4,20204,71.7559
SOCI,7.1374,53,2021.1,20211,78.89330000000001
SOCI,3.3723,33,2021.2,20212,82.2656
SOCI,3.9452,43,2021.3,20213,86.2108
SOCI,7.9437,61,2021.4,20214,94.1545
SOCI,13.2775,54,2022.1,20221,107.432
SOCI,10.0874,45,2022.2,20222,117.5194
SOCI,13.008,51,2022.3,20223,130.5274
SOCI,15.9445,74,2022.4,20224,146.4719
SOCI,10.5154,54,2023.1,20231,156.9873
SOCI,4.8865,32,2023.2,20232,161.8738
SOCI,5.4761,32,2023.3,20233,167.3499
SOCI,1.1071,8,2023.4,20234,168.457
VETE,6.1995,18,2018.1,20181,6.1995
VETE,2.3513,8,2018.2,20182,8.550799999999999
VETE,1.7625,6,2018.3,20183,10.3133
VETE,2.8703,11,2018.4,20184,13.183599999999998
VETE,0.9921,8,2019.1,20191,14.175699999999999
VETE,0.8391,7,2019.2,20192,15.0148
VETE,1.5294,12,2019.3,20193,16.5442
VETE,0.7577,6,2019.4,20194,17.3019
VETE,3.0606,14,2020.1,20201,20.3625
VETE,1.3763,10,2020.2,20202,21.738799999999998
VETE,2.7761,15,2020.3,20203,24.5149
VETE,3.5239,22,2020.4,20204,28.0388
VETE,0.4126,6,2021.1,20211,28.4514
VETE,1.3893,18,2021.2,20212,29.8407
VETE,2.3215,30,2021.3,20213,32.1622
VETE,1.9034,30,2021.4,20214,34.065599999999996
VETE,6.6535,32,2022.1,20221,40.7191
VETE,3.7269,23,2022.2,20222,44.446
VETE,7.8081,38,2022.3,20223,52.2541
VETE,6.662,38,2022.4,20224,58.9161
VETE,1.8716,18,2023.1,20231,60.7877
VETE,1.9826,15,2023.2,20232,62.7703
VETE,0.9041,10,2023.3,20233,63.6744
VETE,0.4045,4,2023.4,20234,64.0789
