id,publicDate,source,coAuthorship,citationCount,refCount,Class
202100031,15/12/2021,1,2,0,32,['MULT']
202100203,01/12/2021,1,8,5,58,['MULT']
202100204,01/12/2021,1,2,11,36,"['BUSI', 'ARTS', 'SOCI', 'PSYC', 'ECON']"
202100036,15/12/2021,1,5,19,38,"['PHAR', 'ENVI']"
202100009,28/12/2021,1,3,3,60,"['PHYS', 'CHEM']"
202100232,01/12/2021,1,6,7,45,"['MEDI', 'BIOC']"
202100000,31/12/2021,1,2,0,45,['MEDI']
202100007,30/12/2021,1,1,4,24,"['BUSI', 'SOCI', 'ECON']"
202100235,01/12/2021,1,4,8,65,['MEDI']
202100038,15/12/2021,1,2,30,47,['ENVI']
202100098,01/12/2021,1,6,4,30,['MEDI']
202100295,01/12/2021,1,9,24,59,"['AGRI', 'VETE']"
202100261,01/12/2021,1,6,2,56,['IMMU']
202100053,03/12/2021,1,2,0,15,['COMP']
202100259,01/12/2021,1,4,28,93,['ECON']
202100054,03/12/2021,1,6,12,5,"['MEDI', 'IMMU']"
202100266,01/12/2021,1,4,21,49,['MULT']
202100292,01/12/2021,1,4,4,36,['MEDI']
202100062,02/12/2021,1,7,6,112,['AGRI']
202100250,01/12/2021,1,3,1,39,['MEDI']
202100096,01/12/2021,1,5,1,9,['MEDI']
202100268,01/12/2021,1,4,8,48,"['COMP', 'ENGI']"
202100091,01/12/2021,1,70,140,155,['BIOC']
202100257,01/12/2021,1,3,4,54,['CHEM']
202100065,01/12/2021,1,6,10,11,['MEDI']
202100234,01/12/2021,1,9,1,36,['MEDI']
202100006,30/12/2021,1,6,0,44,['BUSI']
202100039,15/12/2021,1,3,26,96,"['BIOC', 'ENGI', 'CHEM']"
202100001,31/12/2021,1,3,14,58,['PHYS']
202100233,01/12/2021,1,6,4,40,['BIOC']
202100037,15/12/2021,1,13,14,58,"['MATE', 'CENG']"
202100205,01/12/2021,1,8,0,,['MULT']
202100008,28/12/2021,1,8,17,56,"['CHEM', 'CENG']"
202100202,01/12/2021,1,1,0,15,['AGRI']
202100030,15/12/2021,1,1,2,57,"['MATE', 'PHYS']"
202100269,01/12/2021,1,5,9,43,"['MATE', 'PHYS', 'CHEM']"
202100064,01/12/2021,1,1,0,39,"['ARTS', 'SOCI']"
202100256,01/12/2021,1,7,5,51,['MULT']
202100090,01/12/2021,1,25,27,22,['MEDI']
202100097,01/12/2021,1,3,2,37,"['SOCI', 'MEDI']"
202100251,01/12/2021,1,3,8,34,"['PHYS', 'CHEM', 'MATE']"
202100063,02/12/2021,1,9,0,34,['MEDI']
202100258,01/12/2021,1,47,13,27,['MEDI']
202100293,01/12/2021,1,6,15,36,['ENGI']
202100267,01/12/2021,1,7,8,34,"['ENGI', 'CHEM', 'EART']"
202100055,03/12/2021,1,2,1,26,['SOCI']
202100099,01/12/2021,1,3,8,47,['HEAL']
202100052,04/12/2021,1,6,4,28,['MEDI']
202100260,01/12/2021,1,8,42,74,['MULT']
202100294,01/12/2021,1,5,6,94,['CHEM']
202100120,01/12/2021,1,2,20,7,['MEDI']
202100127,01/12/2021,1,3,41,132,"['AGRI', 'NURS', 'MEDI']"
202100118,01/12/2021,1,4,3,43,['MULT']
202100111,01/12/2021,1,4,2,69,"['SOCI', 'ENVI']"
202100116,01/12/2021,1,2371,10,95,['PHYS']
