id,publicDate,source,coAuthorship,citationCount,refCount,Class
201800316,01/11/2018,1,3,7,37,"['COMP', 'DECI']"
201800329,01/11/2018,1,2,30,24,"['ENER', 'ENVI']"
201800112,01/12/2018,1,16,6,,"['MEDI', 'IMMU']"
201800320,01/11/2018,1,9,,20,['MEDI']
201800327,01/11/2018,1,3,4,16,['MEDI']
201800115,01/12/2018,1,3,1,,"['MEDI', 'IMMU']"
201800318,01/11/2018,1,7,,18,['MEDI']
201800141,01/12/2018,1,7,21,64,"['PHAR', 'MEDI']"
201800179,01/12/2018,1,2,6,10,['MEDI']
201800146,01/12/2018,1,10,0,5,"['BIOC', 'ENGI', 'MEDI', 'PHYS']"
201800170,01/12/2018,1,2,25,35,"['ENGI', 'MATE', 'PHYS']"
201800184,01/12/2018,1,7,1,18,"['MATE', 'PHYS']"
201800148,01/12/2018,1,3,2,30,['NURS']
201800183,01/12/2018,1,6,11,13,['PHAR']
201800177,01/12/2018,1,5,3,25,"['IMMU', 'MEDI']"
201800005,30/12/2018,1,1,16,20,['BUSI']
201800237,01/12/2018,1,26,16,24,['MULT']
201800208,01/12/2018,1,2,30,39,['AGRI']
201800230,01/12/2018,1,12,50,47,['MULT']
201800002,31/12/2018,1,4,21,42,"['CHEM', 'CENG', 'ENGI']"
201800206,01/12/2018,1,3,8,23,"['MEDI', 'NURS']"
201800034,15/12/2018,1,7,4,28,"['PHYS', 'CHEM', 'MATE']"
201800239,01/12/2018,1,2,166,161,['NEUR']
201800033,15/12/2018,1,2,8,33,['PHYS']
201800201,01/12/2018,1,12,7,41,"['MEDI', 'BIOC']"
201800058,05/12/2018,1,5,67,119,['AGRI']
201800255,29/11/2018,1,2305,27,46,['PHYS']
201800067,04/12/2018,1,3,1,15,['PHYS']
201800093,01/12/2018,1,6,2,27,['EART']
201800299,02/11/2018,1,6,7,21,['MEDI']
201800094,01/12/2018,1,2,3,26,['AGRI']
201800060,04/12/2018,1,3,8,44,['ENGI']
201800252,30/11/2018,1,3,3,29,['SOCI']
201800069,03/12/2018,1,2,2,46,"['ENGI', 'EART']"
201800290,07/11/2018,1,2,6,32,['MEDI']
201800056,06/12/2018,1,5,6,35,['MEDI']
201800264,28/11/2018,1,4,2,12,['AGRI']
201800263,28/11/2018,1,2,10,15,"['COMP', 'ENGI']"
201800051,08/12/2018,1,2,9,16,['COMP']
201800297,02/11/2018,1,17,15,41,['MEDI']
201800200,01/12/2018,1,7,5,23,"['MATE', 'PHYS', 'ENGI']"
201800032,19/12/2018,1,5,26,26,"['CHEM', 'BIOC', 'PHAR']"
201800035,15/12/2018,1,4,3,17,['ENGI']
201800207,01/12/2018,1,5,14,24,['MEDI']
201800238,01/12/2018,1,12,19,47,['MULT']
201800003,31/12/2018,1,8,44,45,"['CHEM', 'PHYS', 'MATE']"
201800231,01/12/2018,1,11,21,38,['MULT']
201800236,01/12/2018,1,4,9,44,"['CHEM', 'PHYS', 'MATE']"
201800004,31/12/2018,1,6,75,55,"['CHEM', 'BIOC', 'ENVI']"
201800209,01/12/2018,1,4,29,17,"['MATE', 'ENGI']"
201800296,05/11/2018,1,2,5,10,['COMP']
201800050,08/12/2018,1,2,10,16,['COMP']
201800262,28/11/2018,1,2,1,7,"['COMP', 'ENGI']"
201800068,03/12/2018,1,2,2,40,['ENVI']
201800265,27/11/2018,1,4,3,12,['ENGI']
201800057,06/12/2018,1,7,3,9,"['BIOC', 'IMMU']"
201800291,07/11/2018,1,1,3,12,['MEDI']
201800298,02/11/2018,1,7,59,54,"['BIOC', 'CHEM']"
201800253,30/11/2018,1,2,74,43,['MEDI']
201800061,04/12/2018,1,2,4,28,['ENGI']
201800095,01/12/2018,1,11,,37,['VETE']
201800059,04/12/2018,1,8,16,72,['COMP']
201800092,01/12/2018,1,4,13,137,['MEDI']
201800066,04/12/2018,1,1,4,130,['ENGI']
201800254,30/11/2018,1,9,14,22,['BIOC']
201800022,19/12/2018,1,4,6,13,['PHYS']
201800210,01/12/2018,1,5,122,64,"['MATE', 'PHYS', 'ENGI']"
201800228,01/12/2018,1,5,24,44,['MULT']
201800217,01/12/2018,1,8,21,50,['CENG']
201800025,19/12/2018,1,8,3,6,['PHYS']
201800221,01/12/2018,1,9,51,69,"['BIOC', 'AGRI']"
201800013,20/12/2018,1,22,21,126,"['PHYS', 'EART']"
201800219,01/12/2018,1,8,36,40,"['CHEM', 'AGRI']"
201800014,20/12/2018,1,2,3,9,"['ENVI', 'EART']"
201800226,01/12/2018,1,3,15,41,"['BIOC', 'CENG', 'IMMU']"
201800272,20/11/2018,1,23,12,105,"['PHYS', 'EART']"
201800040,14/12/2018,1,2283,45,54,['PHYS']
201800286,14/11/2018,1,3,4,54,['MEDI']
201800281,15/11/2018,1,4,24,67,"['ENER', 'PHYS']"
201800047,10/12/2018,1,3,12,6,['PHYS']
201800275,17/11/2018,1,2,6,16,['MEDI']
201800078,01/12/2018,1,5,,22,['VETE']
201800085,01/12/2018,1,2,2,16,"['ENER', 'ENGI', 'COMP']"
201800071,03/12/2018,1,4,45,49,"['CHEM', 'ENVI', 'CENG', 'ENER']"
201800243,01/12/2018,1,12,25,51,['MULT']
201800288,09/11/2018,1,2,14,17,['COMP']
201800244,01/12/2018,1,4,14,28,['MULT']
201800076,01/12/2018,1,3,,27,['VETE']
201800082,01/12/2018,1,2,,17,"['ECON', 'SOCI']"
201800049,10/12/2018,1,5,31,72,"['MEDI', 'BIOC']"
201800218,01/12/2018,1,5,33,60,['MULT']
201800227,01/12/2018,1,3,14,13,"['PHAR', 'MEDI']"
201800015,20/12/2018,1,1,6,20,['AGRI']
201800012,21/12/2018,1,3,0,11,['COMP']
201800220,01/12/2018,1,2,20,33,"['AGRI', 'CENG', 'ENGI']"
201800229,01/12/2018,1,2,13,28,['MULT']
201800024,19/12/2018,1,2,1,6,['PHYS']
201800216,01/12/2018,1,10,12,53,['MULT']
201800211,01/12/2018,1,5,72,41,['MULT']
201800023,19/12/2018,1,4,0,3,['PHYS']
201800083,01/12/2018,1,5,,11,['VETE']
201800077,01/12/2018,1,4,,22,['VETE']
201800245,01/12/2018,1,6,27,33,['MULT']
201800048,10/12/2018,1,4,0,7,['PHYS']
201800242,01/12/2018,1,3,5,20,"['AGRI', 'BIOC']"
201800070,03/12/2018,1,8,30,55,"['CHEM', 'ENVI', 'CENG', 'ENER']"
201800084,01/12/2018,1,4,,40,['VETE']
201800289,08/11/2018,1,4,5,26,['CHEM']
201800274,18/11/2018,1,6,15,44,['BIOC']
201800046,10/12/2018,1,3,,9,"['COMP', 'ENGI']"
201800280,16/11/2018,1,2,1,22,['PHYS']
201800079,01/12/2018,1,3,,32,['VETE']
201800287,10/11/2018,1,20,38,83,"['PHYS', 'EART']"
201800041,14/12/2018,1,7,21,28,['PHYS']
201800273,20/11/2018,1,6,7,23,"['EART', 'ENVI', 'AGRI', 'ENGI']"
201800133,01/12/2018,1,6,61,228,['MEDI']
201800301,02/11/2018,1,3,5,30,"['SOCI', 'MEDI']"
201800306,01/11/2018,1,3,0,6,"['MEDI', 'PHYS']"
201800134,01/12/2018,1,4,2,5,['MEDI']
201800330,01/11/2018,1,2305,31,79,['PHYS']
201800102,01/12/2018,1,3,1,12,['MATH']
201800308,01/11/2018,1,4,,32,"['CHEM', 'MATH', 'MATE', 'BIOC', 'PHYS']"
201800105,01/12/2018,1,4,,11,['VETE']
201800151,01/12/2018,1,7,13,59,['MULT']
201800156,01/12/2018,1,2,2,32,"['AGRI', 'ENVI']"
201800169,01/12/2018,1,6,80,41,['MULT']
201800194,01/12/2018,1,8,12,31,"['IMMU', 'VETE']"
201800160,01/12/2018,1,5,7,53,"['IMMU', 'VETE', 'AGRI', 'MEDI']"
201800167,01/12/2018,1,2,78,87,"['ENVI', 'ENGI']"
201800193,01/12/2018,1,7,17,77,"['PHYS', 'ENGI', 'CENG']"
201800158,01/12/2018,1,4,22,18,"['MEDI', 'BIOC']"
201800309,01/11/2018,1,6,,29,"['CHEM', 'MATH', 'MATE', 'BIOC', 'PHYS']"
201800104,01/12/2018,1,6,7,23,['PHYS']
201800103,01/12/2018,1,2,10,43,"['IMMU', 'MEDI']"
201800331,01/11/2018,1,12,31,73,['IMMU']
201800135,01/12/2018,1,8,2,16,['AGRI']
201800307,01/11/2018,1,6,26,66,"['EART', 'ENVI', 'AGRI', 'ENGI']"
201800300,02/11/2018,1,4,50,71,"['CENG', 'COMP']"
201800132,01/12/2018,1,2,10,93,"['BUSI', 'ECON']"
201800192,01/12/2018,1,5,79,43,['MEDI']
201800166,01/12/2018,1,3,23,26,['SOCI']
201800159,01/12/2018,1,9,7,26,"['MEDI', 'BIOC']"
201800161,01/12/2018,1,11,15,71,['MULT']
201800195,01/12/2018,1,4,4,36,"['CENG', 'CHEM', 'MATE']"
201800157,01/12/2018,1,6,7,106,['MEDI']
201800168,01/12/2018,1,4,19,56,['MULT']
