id,publicDate,source,coAuthorship,citationCount,refCount,Class
202000143,01/12/2020,1,6,7,27,"['MEDI', 'HEAL']"
202000188,01/12/2020,1,23,20,35,['MEDI']
202000144,01/12/2020,1,7,11,32,"['ENER', 'ENGI', 'ENVI']"
202000186,01/12/2020,1,5,13,84,"['BUSI', 'COMP', 'SOCI', 'ECON']"
202000172,01/12/2020,1,8,11,35,['MEDI']
202000175,01/12/2020,1,10,4,22,"['MEDI', 'IMMU', 'VETE']"
202000181,01/12/2020,1,3,2,26,"['VETE', 'AGRI', 'BIOC']"
202000121,01/12/2020,1,5,21,37,['MULT']
202000119,01/12/2020,1,3,2,60,"['MEDI', 'SOCI', 'NURS']"
202000126,01/12/2020,1,4,7,56,"['CHEM', 'BIOC', 'PHAR']"
202000110,01/12/2020,1,3,17,44,['PHYS']
202000128,01/12/2020,1,7,6,33,"['CHEM', 'MATE']"
202000117,01/12/2020,1,4,4,18,['ENVI']
202000180,01/12/2020,1,8,50,591,['MEDI']
202000174,01/12/2020,1,3,14,6,['MEDI']
202000173,01/12/2020,1,7,15,63,['MULT']
202000187,01/12/2020,1,4,12,57,['AGRI']
202000145,01/12/2020,1,4,7,34,"['ENGI', 'MATE', 'PHYS']"
202000142,01/12/2020,1,4,12,138,"['BIOC', 'CENG', 'IMMU', 'ENGI']"
202000189,01/12/2020,1,9,33,90,"['IMMU', 'ENVI', 'AGRI']"
202000129,01/12/2020,1,5,19,37,['MEDI']
202000116,01/12/2020,1,2,3,40,['MEDI']
202000111,01/12/2020,1,8,10,5,"['BIOC', 'MEDI']"
202000118,01/12/2020,1,6,7,37,"['BIOC', 'AGRI']"
202000127,01/12/2020,1,5,8,113,"['MEDI', 'NEUR']"
202000120,01/12/2020,1,4,11,24,"['AGRI', 'NURS']"
202000052,02/12/2020,1,6,21,46,"['NEUR', 'BIOC', 'AGRI']"
202000260,01/12/2020,1,5,1,24,"['MEDI', 'DENT']"
202000294,01/12/2020,1,4,11,29,['MULT']
202000099,01/12/2020,1,5,2,30,['MEDI']
202000293,01/12/2020,1,28,94,168,"['MEDI', 'NEUR']"
202000267,01/12/2020,1,5,3,7,['MEDI']
202000055,01/12/2020,1,7,10,55,['MEDI']
202000258,01/12/2020,1,11,34,31,"['BIOC', 'PHYS', 'CHEM', 'CENG']"
202000097,01/12/2020,1,5,0,30,['MEDI']
202000251,01/12/2020,1,4,3,34,"['BIOC', 'IMMU']"
202000063,01/12/2020,1,1,,,"['ARTS', 'SOCI']"
202000064,01/12/2020,1,2,,28,['MATH']
202000256,01/12/2020,1,5,3,51,['AGRI']
202000090,01/12/2020,1,3,2,46,"['ENGI', 'COMP']"
202000269,01/12/2020,1,8,45,39,"['MATH', 'COMP', 'SOCI', 'DECI']"
202000202,01/12/2020,1,3,7,34,"['COMP', 'SOCI']"
202000030,11/12/2020,1,3,17,75,['PSYC']
202000008,22/12/2020,1,2,0,27,"['MATE', 'ENGI']"
202000037,10/12/2020,1,4,38,58,"['ENGI', 'MATE']"
202000205,01/12/2020,1,2,11,35,"['COMP', 'ENGI']"
202000001,30/12/2020,1,8,80,74,"['PHYS', 'MATE']"
202000233,01/12/2020,1,3,39,58,"['MATE', 'CHEM']"
202000039,08/12/2020,1,2,3,15,"['ENGI', 'SOCI']"
202000234,01/12/2020,1,10,11,28,['MULT']
202000006,22/12/2020,1,10,0,,"['MATE', 'ENGI']"
202000091,01/12/2020,1,2,7,27,"['ENER', 'ENGI']"
202000257,01/12/2020,1,12,3,29,['EART']
202000065,01/12/2020,1,4,11,130,"['ENGI', 'ENVI', 'MATE', 'PHYS', 'CENG', 'EART']"
202000268,01/12/2020,1,9,7,17,['MEDI']
202000062,01/12/2020,1,1,2,55,"['SOCI', 'ARTS']"
202000250,01/12/2020,1,8,19,41,['MULT']
202000096,01/12/2020,1,2299,20,45,"['COMP', 'PHYS']"
202000054,01/12/2020,1,32,62,45,['MEDI']
202000266,01/12/2020,1,11,0,,['MULT']
202000292,01/12/2020,1,7,5,32,['MULT']
202000259,01/12/2020,1,7,25,31,['MEDI']
202000295,01/12/2020,1,2,5,6,['MEDI']
202000261,01/12/2020,1,3,10,42,"['MATE', 'ENGI']"
202000053,02/12/2020,1,2,1,20,"['BIOC', 'ENGI', 'MEDI']"
202000098,01/12/2020,1,2,0,24,['MEDI']
202000038,09/12/2020,1,3,3,17,"['ENVI', 'EART']"
202000007,22/12/2020,1,4,1,22,"['MATE', 'ENGI']"
202000235,01/12/2020,1,7,5,30,['BIOC']
202000232,01/12/2020,1,4,44,60,"['ENGI', 'MATE']"
202000000,30/12/2020,1,2,9,40,['PHYS']
202000009,22/12/2020,1,2,5,21,"['MATE', 'ENGI']"
202000204,01/12/2020,1,6,24,51,"['ENGI', 'MATE']"
202000036,10/12/2020,1,106,115,47,"['PHYS', 'EART']"
202000031,11/12/2020,1,7,29,38,"['MATE', 'CENG', 'CHEM']"
202000203,01/12/2020,1,4,20,41,['MULT']
202000221,01/12/2020,1,11,5,46,"['MEDI', 'IMMU', 'VETE']"
202000013,21/12/2020,1,3,15,84,['CHEM']
202000014,20/12/2020,1,2,54,69,"['ENER', 'ENVI', 'BUSI', 'ENGI']"
202000226,01/12/2020,1,3,18,25,"['SOCI', 'ENER', 'ENVI']"
202000219,01/12/2020,1,6,10,30,['MEDI']
202000022,15/12/2020,1,9,7,125,"['BIOC', 'PHAR', 'CHEM']"
202000210,01/12/2020,1,4,3,34,"['BIOC', 'MEDI']"
202000217,01/12/2020,1,6,57,35,['DENT']
202000025,15/12/2020,1,1,3,65,"['BUSI', 'ECON']"
202000228,01/12/2020,1,10,17,37,['MULT']
202000288,01/12/2020,1,3,3,3,['MEDI']
202000085,01/12/2020,1,5,1,37,"['ENVI', 'ENGI']"
202000071,01/12/2020,1,3,4,13,"['COMP', 'DECI']"
202000243,01/12/2020,1,4,24,36,"['CHEM', 'COMP', 'MATE']"
202000049,02/12/2020,1,5,5,35,"['ENER', 'MATH', 'ENGI']"
202000244,01/12/2020,1,6,5,18,['MEDI']
202000076,01/12/2020,1,7,18,34,"['ENGI', 'MATE', 'MEDI']"
202000082,01/12/2020,1,2,6,52,"['ARTS', 'ECON']"
202000272,01/12/2020,1,6,12,151,['EART']
202000040,07/12/2020,1,2340,48,55,['PHYS']
202000286,01/12/2020,1,8,22,64,['MULT']
202000078,01/12/2020,1,11,4,55,['MULT']
202000281,01/12/2020,1,6,35,40,"['MATH', 'COMP', 'SOCI', 'DECI']"
202000047,03/12/2020,1,2,36,65,"['CHEM', 'MATE']"
202000275,01/12/2020,1,4,5,57,['MULT']
202000024,15/12/2020,1,3,26,35,['ENER']
202000216,01/12/2020,1,3,8,43,['MULT']
202000229,01/12/2020,1,6,16,49,"['BIOC', 'IMMU']"
202000211,01/12/2020,1,2,8,20,['AGRI']
202000023,15/12/2020,1,11,3,31,['MEDI']
202000227,01/12/2020,1,13,16,81,"['IMMU', 'VETE', 'AGRI', 'MEDI']"
202000015,20/12/2020,1,2,38,266,"['PHAR', 'NEUR']"
202000218,01/12/2020,1,6,7,29,['MEDI']
202000012,21/12/2020,1,4,23,53,"['ENGI', 'MATH', 'CENG']"
202000220,01/12/2020,1,35,87,46,['MEDI']
202000079,01/12/2020,1,7,7,29,['MULT']
202000274,01/12/2020,1,3,8,43,"['BIOC', 'AGRI']"
202000046,03/12/2020,1,3,4,71,['VETE']
202000280,01/12/2020,1,7,4,49,['MEDI']
202000287,01/12/2020,1,2,68,36,"['ARTS', 'SOCI', 'PSYC', 'ECON']"
202000041,07/12/2020,1,3,3,24,['EART']
202000273,01/12/2020,1,10,9,113,['MULT']
202000048,03/12/2020,1,8,7,50,"['BIOC', 'IMMU', 'VETE', 'MEDI']"
202000083,01/12/2020,1,2,,29,['ENGI']
202000077,01/12/2020,1,7,2,19,"['MEDI', 'BIOC']"
202000245,01/12/2020,1,2,33,56,"['AGRI', 'SOCI', 'ENVI']"
202000289,01/12/2020,1,7,23,55,['MULT']
202000242,01/12/2020,1,5,6,47,['MEDI']
202000070,01/12/2020,1,4,1,26,['AGRI']
202000084,01/12/2020,1,25,3,46,"['MEDI', 'IMMU']"
202000102,01/12/2020,1,2316,9,67,['PHYS']
202000105,01/12/2020,1,2366,31,107,['PHYS']
202000133,01/12/2020,1,4,3,21,"['BIOC', 'AGRI']"
202000134,01/12/2020,1,5,11,50,['ENER']
202000194,01/12/2020,1,5,22,38,"['AGRI', 'CHEM', 'ENGI']"
202000160,01/12/2020,1,1,1,,['MEDI']
202000158,01/12/2020,1,3,2,50,['MEDI']
202000167,01/12/2020,1,6,10,45,['MULT']
202000193,01/12/2020,1,4,2,91,"['PHYS', 'EART']"
202000151,01/12/2020,1,3,3,45,"['CHEM', 'MATE', 'PHYS']"
202000169,01/12/2020,1,6,41,182,"['MATE', 'ENGI', 'PHAR']"
202000156,01/12/2020,1,35,11,,['MEDI']
202000135,01/12/2020,1,3,6,37,"['CENG', 'ENGI']"
202000300,01/12/2020,1,6,6,27,['MEDI']
202000132,01/12/2020,1,4,29,54,['MATE']
202000104,01/12/2020,1,6,8,17,['MEDI']
202000103,01/12/2020,1,4,4,33,['VETE']
202000168,01/12/2020,1,2,8,28,['NURS']
202000157,01/12/2020,1,9,12,26,['MULT']
202000150,01/12/2020,1,4,12,52,"['CENG', 'CHEM']"
202000159,01/12/2020,1,6,28,41,['MULT']
202000192,01/12/2020,1,3,13,33,"['CENG', 'CHEM']"
202000166,01/12/2020,1,5,21,24,"['ENVI', 'IMMU', 'AGRI']"
202000161,01/12/2020,1,3,11,26,['BIOC']
202000195,01/12/2020,1,11,10,61,"['BIOC', 'PHAR']"
202000125,01/12/2020,1,6,9,61,"['ENVI', 'MEDI']"
202000122,01/12/2020,1,10,7,44,['MULT']
202000114,01/12/2020,1,9,6,28,['MEDI']
202000113,01/12/2020,1,7,25,38,['MEDI']
202000147,01/12/2020,1,4,3,24,['BIOC']
202000178,01/12/2020,1,7,15,39,['MULT']
202000140,01/12/2020,1,14,16,35,"['IMMU', 'MEDI']"
