id,publicDate,source,coAuthorship,citationCount,refCount,Class
202300198,01/11/2023,1,4,8,53,['ENGI']
202300153,01/12/2023,1,6,1,67,['PHAR']
202300154,01/12/2023,1,9,2,27,['MULT']
202300196,05/11/2023,1,2,1,50,"['ENER', 'ENGI', 'CENG']"
202300162,01/12/2023,1,8,2,44,['MULT']
202300165,01/12/2023,1,5,1,41,['MULT']
202300191,01/12/2023,1,6,2,53,"['CENG', 'CHEM']"
202300131,01/12/2023,1,5,4,46,['MULT']
202300136,01/12/2023,1,7,2,26,['MULT']
202300109,01/12/2023,1,10,0,43,['DENT']
202300100,01/12/2023,1,7,2,40,['MEDI']
202300107,01/12/2023,1,7,3,43,['MULT']
202300138,01/12/2023,1,9,0,1,['MEDI']
202300190,01/12/2023,1,6,0,4,['MEDI']
202300164,01/12/2023,1,12,0,,['MULT']
202300163,01/12/2023,1,3,1,49,['MULT']
202300197,01/11/2023,1,5,0,,"['ENVI', 'CHEM', 'MEDI']"
202300155,01/12/2023,1,5,1,30,['DENT']
202300199,01/11/2023,1,2,1,32,"['CENG', 'ENVI', 'ENER']"
202300152,01/12/2023,1,4,3,34,['MEDI']
202300106,01/12/2023,1,4,0,47,['DENT']
202300139,01/12/2023,1,73,4,53,['MULT']
202300101,01/12/2023,1,2,2,22,['MULT']
202300137,01/12/2023,1,8,1,52,['MULT']
202300108,01/12/2023,1,8,1,43,['MEDI']
202300130,01/12/2023,1,8,1,35,['DENT']
202300089,01/12/2023,1,6,12,89,['MULT']
202300270,01/10/2023,1,3,0,21,"['MATH', 'DECI']"
202300042,01/12/2023,1,6,1,3,"['BIOC', 'HEAL']"
202300284,15/09/2023,1,4,,53,['MEDI']
202300248,01/10/2023,1,5,2,51,"['BIOC', 'CENG', 'MATE', 'ENGI']"
202300283,15/09/2023,1,6,0,56,['BIOC']
202300045,01/12/2023,1,6,0,54,"['BIOC', 'AGRI']"
202300277,01/10/2023,1,4,3,24,"['BUSI', 'ECON']"
202300087,01/12/2023,1,6,0,75,['MULT']
202300073,01/12/2023,1,6,0,48,['MULT']
202300241,01/10/2023,1,3,0,45,['CHEM']
202300279,01/10/2023,1,4,5,76,"['IMMU', 'BIOC']"
202300246,01/10/2023,1,7,4,79,"['CENG', 'ENVI']"
202300074,01/12/2023,1,12,3,168,['AGRI']
202300080,01/12/2023,1,5,2,45,['MULT']
202300020,01/12/2023,1,2,0,52,['MULT']
202300212,01/11/2023,1,4,8,174,"['BIOC', 'AGRI']"
202300215,30/10/2023,1,17,4,38,"['PHYS', 'MATE']"
202300027,01/12/2023,1,8,1,28,"['ENVI', 'ENER']"
202300018,01/12/2023,1,13,2,81,['AGRI']
202300223,15/10/2023,1,10,2,67,['AGRI']
202300011,01/12/2023,1,9,0,29,['DENT']
202300016,01/12/2023,1,6,2,39,['MULT']
202300224,15/10/2023,1,5,1,96,"['MATH', 'ENGI']"
202300029,01/12/2023,1,7,1,52,['VETE']
202300278,01/10/2023,1,10,1,34,"['AGRI', 'BIOC']"
202300081,01/12/2023,1,3,1,1,['MEDI']
202300075,01/12/2023,1,4,1,75,['MULT']
202300247,01/10/2023,1,5,1,95,"['EART', 'SOCI']"
202300240,01/10/2023,1,6,5,119,"['IMMU', 'NEUR']"
202300072,01/12/2023,1,8,1,78,['MULT']
202300086,01/12/2023,1,8,2,28,['MULT']
202300249,01/10/2023,1,13,0,35,['MEDI']
202300276,01/10/2023,1,6,1,65,"['CHEM', 'PHYS', 'MATE']"
202300044,01/12/2023,1,10,1,38,['AGRI']
202300282,15/09/2023,1,19,0,33,"['BIOC', 'IMMU', 'VETE', 'MEDI']"
202300088,01/12/2023,1,7,0,58,['MULT']
202300285,15/09/2023,1,6,1,122,"['ENVI', 'AGRI', 'ARTS', 'SOCI', 'EART']"
202300043,01/12/2023,1,6,0,21,"['HEAL', 'MEDI']"
202300271,01/10/2023,1,4,0,37,['MEDI']
202300225,10/10/2023,1,7,1,51,"['ENGI', 'MATE']"
202300017,01/12/2023,1,8,0,85,"['MATE', 'ENGI']"
202300028,01/12/2023,1,7,3,76,['MULT']
